,Sachkonten - Buchungen,,,,,,,,,,,
,,,,,,,,,,,,
,Gesendet um: ,09.02.2026 11:09:10 CET,,,,,,,,,,
,Daten benutzerbasiert: ,Thomas Gottschalk,,,,,,,,,,
,Berechtigungskontext: ,* (Keine Einschränkungen),,,,,,,,,,
,,,,,,,,,,,,
,Selektion:,,,,,,,,,,,
,Unternehmen,3 (Microvista GmbH),,,,,,,,,,
,Rechnungslegungswerk,4010 (HGB),,,,,,,,,,
,Buchungsperiode/-jahr,001.2023; 002.2023; 003.2023; 004.2023; 005.2023; 006.2023; 007.2023; 008.2023; 009.2023; 010.2023; 011.2023; 012.2023,,,,,,,,,,
,Sachkonto,460100 (Messekosten); 461000 (Werbekosten),,,,,,,,,,
,Anzeigewährung - Umrechnungsdatum,Heute - 09.02.2026,,,,,,,,,,
,,,,,,,,,,,,
,Sachkonto,,Buchungsdatum,Buchungsbeleg,Buchungsbelegposition,Positionstext,Kreditorgeschäftspartner,,Buchungsbelegart,Sollbetrag in Hauswährung,Habenbetrag in Hauswährung,
,460100,Messekosten,31.12.2023,20000000130,1,Saldovortrag - ausgehend,#,Nicht zugeordnet,Saldovortrag,,669.50 EUR,
,460100,Messekosten,31.12.2023,20000000130,2,Saldovortrag - ausgehend,#,Nicht zugeordnet,Saldovortrag,,58.82 EUR,
,460100,Messekosten,31.12.2023,200000000553,4,Conference Dinner,10004630,Kontrapunkt GmbH,Lieferantenrechnung,58.82 EUR,,
,460100,Messekosten,13.05.2023,200000000187,3,Transport Flex CT Magdeburg Tagung,10002545,Lothar Müller Transporte,Lieferantenrechnung,669.50 EUR,,
,461000,Werbekosten,31.12.2023,109,1,Wir machen Druck,#,Nicht zugeordnet,Manuelle Buchung für Erfassungsbelege,78.27 EUR,,
,461000,Werbekosten,31.12.2023,20000000131,1,Saldovortrag - ausgehend,#,Nicht zugeordnet,Saldovortrag,,"11,462.28 EUR",
,461000,Werbekosten,31.12.2023,20000000131,2,Saldovortrag - ausgehend,#,Nicht zugeordnet,Saldovortrag,,"6,763.20 EUR",
,461000,Werbekosten,31.12.2023,20000000131,3,Saldovortrag - ausgehend,#,Nicht zugeordnet,Saldovortrag,,"3,710.91 EUR",
,461000,Werbekosten,31.12.2023,20000000131,4,Saldovortrag - ausgehend,#,Nicht zugeordnet,Saldovortrag,,"6,639.64 EUR",
,461000,Werbekosten,31.12.2023,20000000131,5,Saldovortrag - ausgehend,#,Nicht zugeordnet,Saldovortrag,,148.07 EUR,
,461000,Werbekosten,31.12.2023,20000000131,6,Saldovortrag - ausgehend,#,Nicht zugeordnet,Saldovortrag,"2,485.00 EUR",,
,461000,Werbekosten,31.12.2023,200000000509,10,Visitenkarten JW & RH,2,NetCo Professional Services GmbH,Lieferantenrechnung,24.05 EUR,,
,461000,Werbekosten,31.12.2023,200000000509,12,Google Ads 12/2023,2,NetCo Professional Services GmbH,Lieferantenrechnung,721.42 EUR,,
,461000,Werbekosten,31.12.2023,200000000563,3,Videos Animationen Fiverr,2,NetCo Professional Services GmbH,Lieferantenrechnung,123.51 EUR,,
,461000,Werbekosten,22.12.2023,200000000533,3,Flyer DIN A6 quer (225Stück),1010093,WIRmachenDRUCK GmbH,Lieferantenrechnung,56.07 EUR,,
,461000,Werbekosten,30.11.2023,200000000460,9,Google Ads 11/2023,2,NetCo Professional Services GmbH,Lieferantenrechnung,"1,013.47 EUR",,
,461000,Werbekosten,03.11.2023,200000000426,5,Newslettermodul,1010362,WebhostOne GmbH,Lieferantenrechnung,2.76 EUR,,
,461000,Werbekosten,31.10.2023,200000000431,3,Google Ads 10/2023,2,NetCo Professional Services GmbH,Lieferantenrechnung,731.06 EUR,,
,461000,Werbekosten,13.10.2023,200000000417,3,Schnitt(fremdspr. Nachsynchr.4 Videos),1010420,Tilo Sichler,Lieferantenrechnung,250.00 EUR,,
,461000,Werbekosten,30.09.2023,200000000407,6,Fiverr Video Editing,2,NetCo Professional Services GmbH,Lieferantenrechnung,65.29 EUR,,
,461000,Werbekosten,30.09.2023,200000000407,7,Fiverr Animated Explainer,2,NetCo Professional Services GmbH,Lieferantenrechnung,304.14 EUR,,
,461000,Werbekosten,30.09.2023,200000000407,11,Google Ads 09/2023,2,NetCo Professional Services GmbH,Lieferantenrechnung,"1,245.19 EUR",,
