Campaign performance
"January 1, 2023 - December 31, 2025"
Campaign,Campaign state,Campaign type,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
BC - Video - Mehr Aufrufe erzielen – 2023-07-18,Paused,Video,260,"134,300",0.19%,EUR,4.69,1219.04,0,0,0.00,0,0,0.00%
BK - Video -  Mehr Aufrufe erzielen – 2023-07-17,Paused,Video,255,"88,128",0.29%,EUR,3.48,888.39,0,0,0.00,0,0,0.00%
BK-SN-D-Conmax _AI Max,Enabled,Search,207,"7,049",2.94%,EUR,6.63,1373.27,27.32%,45.95%,0.00,0,0,0.00%
BC-SN-D -Conmax  Broad Match,Enabled,Search,192,"3,333",5.76%,EUR,2.09,401.09,40.29%,52.06%,1.00,0,401.09,0.52%
BK-SN-NL Conv.-Wert max.,Enabled,Search,185,"1,751",10.57%,EUR,10.72,1982.47,74.83%,87.45%,0.00,0,0,0.00%
BK-SN-D-Conmax B2B ZG als Ausrichtung,Enabled,Search,162,"1,533",10.57%,EUR,20.44,3311.12,74.21%,92.62%,2.00,0,1655.56,1.23%
NDT-SN-D -Conmax,Removed,Search,98,637,15.38%,EUR,5.00,490.36,62.93%,88.62%,1.00,0,490.36,1.02%
Live Showcase - Scan Express,Paused,Search,48,"1,207",3.98%,EUR,12.29,589.96,71.07%,84.58%,0.00,0,0,0.00%
BK-SN-NL Conv.max.,Enabled,Search,44,222,19.82%,EUR,18.76,825.56,88.97%,94.85%,2.00,0,412.78,4.55%
BC-SN-D -Conmax Markeneinschluss,Enabled,Search,27,120,22.50%,EUR,4.98,134.36,83.91%,83.91%,1.00,0,134.36,3.70%
Plant Intelligence System,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Anlagenverfügbarkeit,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
OEE,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Ausschuss senken,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Fehlererfassung,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Prozesskontrolle,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Störungserfassung,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Gießfehler erfassen,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
EDMS,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Treiberentwicklung,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Controller Programmierung,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
SoC - Lösung,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Sensorelektronik,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Mikrocontrollerprogrammierung,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Schaltungsentwicklung,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Profibus,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Elektronikentwicklung,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Fehlererfassung Gussteil,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Entwicklungsdienstleister,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
oee,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
ControllProgrammierung,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Dienstleister,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Elektronikentwicklg,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Sensor,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Controllerprogrammierg,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
ADS,Paused,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Embedded Development,Paused,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
ITS Webcam,Paused,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Microvista,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Stellenanzeige EDMS,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
ADS App-Programmierung,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
ITS Überwachungslösungen,Paused,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Stellenanzeige ITS,Paused,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
ADS SafetyOrganizer,Paused,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Stellenanzeige Marketing,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
BK-SN-D,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
EDMS OnePage,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Stellenanzeige ADS,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Überwachung-Bau,Paused,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Body Cam,Paused,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Body-Worn-Cam,Paused,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Anrufkampagne,Paused,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
NDT,Paused,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
NDT Brand,Paused,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
BC-SN-D,Paused,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
BK-SN-D-Mehrwert,Paused,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
NDT-SD-D,Paused,Display,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
BK-SN-D 02,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
BK-SN-D,Paused,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
BK-SN-D-Test 01 Conv max,Removed,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
Video-Conversions – 2023-10-13,Removed,Video,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
NDT-Performance Max-EU-Showevent-Scanexpress,Removed,Performance Max,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
MV-ScanExpress-D,Enabled,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
MV-ScanExpress-EN,Enabled,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
MV-ScanExpress-FR,Enabled,Search,0,0,0,EUR,0,0.00,0,0,0.00,0,0,0
